DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
1540.00	 99.56
1541.00	 99.56
1542.00	 99.57
1543.00	 99.57
1544.00	 99.57
1545.00	 99.57
1546.00	 99.58
1547.00	 99.59
1548.00	 99.59
1549.00	 99.58
1550.00	 99.58
1551.00	 99.58
1552.00	 99.59
1553.00	 99.59
1554.00	 99.59
1555.00	 99.58
1556.00	 99.57
1557.00	 99.58
1558.00	 99.58
1559.00	 99.59
1560.00	 99.60
1561.00	 99.60
1562.00	 99.59
1563.00	 99.59
1564.00	 99.58
1565.00	 99.58
1566.00	 99.57
1567.00	 99.57
1568.00	 99.57
1569.00	 99.57
1570.00	 99.56
1571.00	 99.56
1572.00	 99.56
1573.00	 99.56
1574.00	 99.56
1575.00	 99.55
1576.00	 99.55
1577.00	 99.55
1578.00	 99.55
1579.00	 99.54
1580.00	 99.54
1581.00	 99.53
1582.00	 99.53
1583.00	 99.53
1584.00	 99.53
1585.00	 99.53
1586.00	 99.52
1587.00	 99.51
1588.00	 99.51
1589.00	 99.50
1590.00	 99.51
1591.00	 99.51
1592.00	 99.52
1593.00	 99.52
1594.00	 99.53
1595.00	 99.54
1596.00	 99.54
1597.00	 99.54
1598.00	 99.53
1599.00	 99.53
1600.00	 99.53
1601.00	 99.53
1602.00	 99.53
1603.00	 99.54
1604.00	 99.54
1605.00	 99.54
1606.00	 99.55
1607.00	 99.55
1608.00	 99.55
1609.00	 99.55
1610.00	 99.56
1611.00	 99.56
1612.00	 99.56
1613.00	 99.55
1614.00	 99.54
1615.00	 99.54
1616.00	 99.53
1617.00	 99.53
1618.00	 99.54
1619.00	 99.55
1620.00	 99.55
1621.00	 99.56
1622.00	 99.57
1623.00	 99.57
1624.00	 99.57
1625.00	 99.58
1626.00	 99.57
1627.00	 99.57
1628.00	 99.56
1629.00	 99.55
1630.00	 99.55
1631.00	 99.54
1632.00	 99.54
1633.00	 99.55
1634.00	 99.56
1635.00	 99.56
1636.00	 99.55
1637.00	 99.55
1638.00	 99.55
1639.00	 99.55
1640.00	 99.54
1641.00	 99.54
1642.00	 99.54
1643.00	 99.54
1644.00	 99.53
1645.00	 99.53
1646.00	 99.53
1647.00	 99.53
1648.00	 99.53
1649.00	 99.53
1650.00	 99.53
1651.00	 99.53
1652.00	 99.53
1653.00	 99.50
1654.00	 99.50
1655.00	 99.51
1656.00	 99.52
1657.00	 99.53
1658.00	 99.54
1659.00	 99.54
1660.00	 99.55
1661.00	 99.55
1662.00	 99.56
1663.00	 99.56
1664.00	 99.56
1665.00	 99.56
1666.00	 99.56
1667.00	 99.56
1668.00	 99.57
1669.00	 99.57
1670.00	 99.57
1671.00	 99.57
1672.00	 99.57
1673.00	 99.57
1674.00	 99.57
1675.00	 99.56
1676.00	 99.57
1677.00	 99.58
1678.00	 99.59
1679.00	 99.59
1680.00	 99.59
1681.00	 99.59
1682.00	 99.60
1683.00	 99.60
1684.00	 99.60
1685.00	 99.61
1686.00	 99.62
1687.00	 99.62
1688.00	 99.61
1689.00	 99.60
1690.00	 99.59
1691.00	 99.59
1692.00	 99.59
1693.00	 99.59
1694.00	 99.59
1695.00	 99.59
1696.00	 99.59
1697.00	 99.58
1698.00	 99.58
1699.00	 99.58
1700.00	 99.57
1701.00	 99.57
1702.00	 99.57
1703.00	 99.56
1704.00	 99.55
1705.00	 99.53
1706.00	 99.52
1707.00	 99.51
1708.00	 99.50
1709.00	 99.49
1710.00	 99.49
1711.00	 99.48
1712.00	 99.48
1713.00	 99.47
1714.00	 99.47
1715.00	 99.47
1716.00	 99.47
1717.00	 99.48
1718.00	 99.50
1719.00	 99.51
1720.00	 99.51
1721.00	 99.51
1722.00	 99.50
1723.00	 99.50
1724.00	 99.50
1725.00	 99.49
1726.00	 99.47
1727.00	 99.45
1728.00	 99.43
1729.00	 99.40
1730.00	 99.37
1731.00	 99.35
1732.00	 99.34
1733.00	 99.33
1734.00	 99.31
1735.00	 99.28
1736.00	 99.27
1737.00	 99.26
1738.00	 99.26
1739.00	 99.24
1740.00	 99.22
1741.00	 99.20
1742.00	 99.19
1743.00	 99.19
1744.00	 99.20
1745.00	 99.21
1746.00	 99.24
1747.00	 99.26
1748.00	 99.29
1749.00	 99.32
1750.00	 99.35
1751.00	 99.39
1752.00	 99.43
1753.00	 99.48
1754.00	 99.51
1755.00	 99.54
1756.00	 99.56
1757.00	 99.60
1758.00	 99.63
1759.00	 99.67
1760.00	 99.70
1761.00	 99.72
1762.00	 99.74
1763.00	 99.76
1764.00	 99.77
1765.00	 99.78
1766.00	 99.78
